Rk,Name,Age,Tm,Pit/PA,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,AS/Pit,Con,1st%,30%,2%,L/SO%
1,Fernando Abad*\abadfe01,33,SFG,3.49,64.90%,37.80%,16.20%,12.60%,33.30%,62.20%,40.40%,73.90%,71.40%,2.00%,18.40%,66.70%
2,Bryan Abreu\abreubr01,22,HOU,4.56,61.60%,31.10%,32.20%,18.90%,17.80%,68.90%,42.50%,53.20%,46.90%,6.30%,21.90%,23.10%
3,Jason Adam\adamja01,27,TOR,4.36,57.70%,22.30%,21.80%,29.70%,26.20%,77.70%,44.80%,71.90%,46.20%,5.50%,15.40%,27.80%
4,Austin Adams\adamsau01,32,TOT,3.98,57.50%,25.10%,19.70%,26.20%,29.00%,74.90%,43.10%,73.70%,56.30%,8.80%,17.50%,7.10%
5,Austin Adams\adamsau02,28,TOT,4.16,62.30%,29.10%,28.50%,24.60%,17.80%,70.90%,44.20%,59.80%,54.60%,5.40%,25.40%,26.40%
6,Chance Adams\adamsch01,24,NYY,4.19,60.30%,24.30%,13.70%,33.90%,28.10%,75.70%,45.70%,81.90%,53.20%,6.50%,18.50%,30.40%
7,Ehire Adrianza\adriaeh01,29,MIN,2.63,66.70%,28.60%,14.30%,7.10%,50.00%,71.40%,47.60%,80.00%,50.00%,0.00%,12.50%,0.00%
8,Dario Agrazal\agrazda01,24,PIT,3.58,64.70%,29.10%,11.30%,25.70%,33.90%,70.90%,45.90%,84.10%,57.30%,5.00%,21.80%,43.90%
9,R.J. Alaniz\alanirj01,28,TOT,3.7,60.80%,24.40%,16.90%,26.90%,31.90%,75.60%,46.00%,77.70%,49.30%,2.80%,11.30%,15.40%
10,Matt Albers\alberma01,36,MIL,3.9,60.60%,30.90%,16.60%,24.80%,27.80%,69.10%,41.90%,76.00%,60.50%,5.40%,17.80%,36.80%
11,Hanser Alberto\alberha01,26,BAL,2.86,45.00%,22.20%,0.00%,33.30%,44.40%,77.80%,35.00%,100.00%,42.90%,14.30%,0.00%,
12,Jorge Alcala\alcaljo01,23,MIN,4.14,62.10%,22.20%,27.80%,22.20%,27.80%,77.80%,48.30%,64.30%,71.40%,14.30%,14.30%,100.00%
13,Sandy Alcantara\alcansa01,23,MIA,3.69,64.60%,23.30%,18.20%,28.60%,29.90%,76.70%,49.60%,76.30%,60.40%,4.70%,26.40%,25.80%
14,Victor Alcantara\alcanvi01,26,DET,3.75,65.40%,21.20%,16.50%,31.00%,31.40%,78.80%,51.50%,79.10%,60.70%,3.80%,27.30%,12.50%
15,Scott Alexander*\alexasc02,29,LAD,3.66,64.00%,25.30%,15.70%,25.80%,33.10%,74.70%,47.80%,78.90%,63.20%,5.30%,19.70%,11.10%
16,Tyler Alexander*\alexaty01,24,DET,3.91,67.80%,22.30%,14.10%,34.70%,28.80%,77.70%,52.60%,81.80%,65.10%,2.10%,30.60%,23.40%
17,Kolby Allard*\allarko01,21,TEX,4.03,64.00%,28.50%,13.60%,29.10%,28.70%,71.50%,45.70%,80.90%,58.20%,3.80%,28.80%,27.30%
18,Cody Allen\allenco01,30,LAA,4.24,57.70%,31.30%,18.30%,26.80%,23.60%,68.70%,39.60%,73.30%,52.60%,10.30%,14.70%,20.70%
19,Logan Allen*\allenlo01,22,TOT,3.52,62.70%,23.40%,16.30%,26.60%,33.70%,76.60%,48.00%,78.70%,61.70%,6.30%,24.20%,0.00%
20,Yency Almonte\almonye01,25,COL,3.87,62.20%,21.40%,19.60%,29.10%,29.90%,78.60%,48.80%,75.10%,56.70%,3.80%,20.40%,10.30%
21,Dan Altavilla\altavda01,26,SEA,4.59,62.20%,19.10%,20.80%,41.50%,18.60%,80.90%,50.30%,74.30%,51.60%,7.80%,34.40%,27.80%
22,Aaron Altherr\altheaa01,28,TOT,3.8,73.70%,28.60%,28.60%,21.40%,21.40%,71.40%,52.60%,60.00%,60.00%,0.00%,60.00%,0.00%
23,Jose Alvarado*\alvarjo03,24,TBR,4.01,58.10%,29.10%,21.80%,25.60%,23.50%,70.90%,41.20%,69.30%,47.90%,5.50%,20.50%,20.50%
24,Jose Alvarez*\alvarjo02,30,PHI,3.83,66.80%,22.10%,18.00%,31.80%,28.20%,77.90%,52.00%,77.00%,64.20%,3.90%,33.90%,33.30%
25,Adbert Alzolay\alzolad01,24,CHC,3.75,60.90%,23.40%,20.40%,29.20%,27.00%,76.60%,46.70%,73.30%,61.70%,5.00%,20.00%,15.40%
26,Brett Anderson*\anderbr04,31,OAK,3.56,64.10%,25.80%,12.60%,26.30%,35.30%,74.20%,47.60%,83.00%,59.00%,3.50%,20.60%,20.00%
27,Chase Anderson\anderch01,31,MIL,4.03,64.70%,23.10%,18.10%,32.40%,26.50%,76.90%,49.80%,76.50%,62.10%,3.40%,26.50%,19.40%
28,Cody Anderson\anderco01,28,CLE,4.2,60.60%,23.90%,19.70%,32.50%,23.90%,76.10%,46.10%,74.20%,60.90%,2.20%,30.40%,11.10%
29,Drew Anderson\anderdr02,25,PHI,3.47,58.70%,19.70%,27.90%,23.00%,29.50%,80.30%,47.10%,65.30%,53.30%,16.70%,16.70%,0.00%
30,Justin Anderson\anderju01,26,LAA,4.19,58.80%,22.00%,22.20%,32.80%,23.10%,78.00%,45.80%,71.60%,58.30%,6.40%,24.30%,11.70%
31,Nick Anderson\anderni01,28,TOT,4.17,69.40%,22.10%,29.60%,30.80%,17.50%,77.90%,54.00%,62.00%,67.00%,5.30%,46.20%,20.00%
32,Shaun Anderson\andersh01,24,SFG,3.71,62.30%,22.20%,16.20%,29.60%,32.00%,77.80%,48.50%,79.10%,60.70%,4.40%,16.10%,18.60%
33,Tanner Anderson\anderta01,26,OAK,4.03,61.50%,22.70%,12.70%,33.80%,30.80%,77.30%,47.50%,83.60%,56.20%,6.70%,17.10%,27.80%
34,Tyler Anderson*\anderty01,29,COL,4.04,65.20%,23.30%,18.60%,32.30%,25.80%,76.70%,50.00%,75.70%,62.30%,2.80%,24.50%,8.70%
35,Matt Andriese\andrima01,29,ARI,3.85,64.90%,27.10%,18.40%,28.80%,25.70%,72.90%,47.30%,74.70%,61.00%,5.80%,31.60%,17.70%
36,Victor Arano\aranovi01,24,PHI,4,61.80%,11.90%,45.20%,26.20%,16.70%,88.10%,54.40%,48.60%,47.10%,5.90%,5.90%,0.00%
37,Pedro Araujo\araujpe01,25,BAL,3.5,42.90%,33.30%,0.00%,16.70%,50.00%,66.70%,28.60%,100.00%,50.00%,25.00%,0.00%,
38,Chris Archer\archech01,30,PIT,3.98,63.10%,27.20%,21.60%,26.70%,24.50%,72.80%,45.90%,70.30%,61.30%,5.50%,23.70%,22.40%
39,Rogelio Armenteros\armenro01,25,HOU,4.44,61.30%,24.00%,19.10%,31.40%,25.50%,76.00%,46.50%,74.80%,54.70%,1.30%,20.00%,0.00%
40,Shawn Armstrong\armstsh01,28,TOT,4.18,62.10%,21.20%,21.20%,32.80%,24.90%,78.80%,48.90%,73.20%,56.50%,4.40%,20.70%,23.80%
41,Jake Arrieta\arrieja01,33,PHI,3.69,63.20%,30.40%,12.80%,26.10%,30.70%,69.60%,44.00%,81.70%,58.90%,3.40%,21.70%,34.50%
42,Humberto Arteaga\arteahu01,25,KCR,2.88,60.90%,21.40%,0.00%,28.60%,50.00%,78.60%,47.80%,100.00%,75.00%,0.00%,0.00%,
43,Alex Avila\avilaal01,32,ARI,3.13,56.00%,35.70%,7.10%,14.30%,42.90%,64.30%,36.00%,88.90%,62.50%,25.00%,12.50%,100.00%
44,Pedro Avila\avilape01,22,SDP,3.7,64.70%,32.70%,14.50%,25.50%,27.30%,67.30%,43.50%,78.40%,56.50%,0.00%,21.70%,20.00%
45,Luis Avilan*\avilalu01,29,NYM,4.23,58.00%,27.60%,20.10%,25.30%,27.00%,72.40%,42.00%,72.20%,54.90%,4.90%,17.60%,6.70%
46,Michel Baez\baezmi01,23,SDP,3.98,62.00%,21.40%,18.90%,33.10%,26.60%,78.60%,48.80%,76.00%,58.00%,4.60%,19.10%,10.70%
47,Pedro Baez\baezpe01,31,LAD,4.02,63.40%,18.30%,26.00%,30.10%,25.60%,81.70%,51.80%,68.20%,57.60%,4.30%,26.10%,7.20%
48,Sandy Baez\baezsa01,25,DET,2,80.00%,25.00%,12.50%,0.00%,62.50%,75.00%,60.00%,83.30%,80.00%,0.00%,0.00%,
49,Homer Bailey\baileho02,33,TOT,4.06,64.70%,24.90%,18.20%,30.10%,26.70%,75.10%,48.50%,75.70%,63.60%,4.00%,30.30%,17.40%
50,Anthony Banda*\bandaan01,25,TBR,3.28,67.80%,20.00%,5.00%,35.00%,40.00%,80.00%,54.20%,93.80%,50.00%,5.60%,27.80%,0.00%
51,Manny Banuelos*\banuema01,28,CHW,3.99,59.30%,27.30%,17.80%,26.90%,28.00%,72.70%,43.10%,75.50%,56.10%,7.60%,16.90%,15.90%
52,Luke Bard\bardlu01,28,LAA,4.11,63.60%,28.10%,20.40%,24.40%,27.10%,71.90%,45.70%,71.70%,62.80%,4.50%,25.10%,22.50%
53,Scott Barlow\barlosc01,26,KCR,4.18,63.00%,26.70%,24.70%,26.90%,21.70%,73.30%,46.20%,66.30%,58.70%,5.10%,28.50%,19.60%
54,Jacob Barnes\barneja01,29,TOT,4.13,57.90%,28.50%,16.70%,27.20%,27.70%,71.50%,41.50%,76.60%,57.50%,9.40%,21.30%,25.00%
55,Matt Barnes\barnema01,29,BOS,4.6,61.40%,27.80%,26.00%,29.40%,16.80%,72.20%,44.30%,64.00%,58.60%,3.90%,22.50%,18.20%
56,Tony Barnette\barneto01,35,CHC,5,52.00%,46.20%,0.00%,15.40%,38.50%,53.80%,28.00%,100.00%,40.00%,20.00%,0.00%,
57,Kyle Barraclough\barraky01,29,TOT,4.29,60.90%,25.50%,22.50%,28.50%,23.40%,74.50%,45.30%,69.80%,55.20%,6.70%,23.60%,20.00%
58,Aaron Barrett\barreaa01,31,WSN,4.25,47.10%,34.40%,9.40%,21.90%,34.40%,65.60%,30.90%,85.70%,18.80%,18.80%,6.30%,100.00%
59,Jake Barrett\barreja01,27,NYY,3.68,57.10%,30.00%,20.00%,17.50%,32.50%,70.00%,40.00%,71.40%,52.60%,10.50%,5.30%,25.00%
60,Jaime Barria\barrija01,22,LAA,4.09,60.90%,27.20%,16.10%,28.10%,28.60%,72.80%,44.40%,77.90%,57.70%,4.90%,20.20%,20.00%
61,Tyler Bashlor\bashlty01,26,NYM,3.84,61.60%,28.30%,18.00%,26.60%,27.00%,71.70%,44.20%,74.90%,53.40%,8.70%,20.40%,25.00%
62,Anthony Bass\bassan01,31,SEA,3.9,61.70%,28.80%,19.60%,23.50%,28.10%,71.20%,43.90%,72.50%,62.40%,3.20%,21.70%,27.90%
63,Chris Bassitt\bassich01,30,OAK,3.96,64.60%,27.80%,15.10%,31.00%,26.20%,72.20%,46.70%,79.10%,62.50%,4.10%,29.90%,27.00%
64,Trevor Bauer\bauertr01,28,TOT,4.03,62.90%,28.00%,21.10%,26.90%,24.00%,72.00%,45.30%,70.70%,59.40%,3.70%,25.80%,25.70%
65,Gerson Bautista\bautige01,24,SEA,4.02,59.40%,23.90%,17.90%,29.90%,28.20%,76.10%,45.20%,76.40%,63.30%,6.10%,24.50%,14.30%
66,David Bednar\bednada01,24,SDP,4.08,64.30%,27.00%,23.80%,26.20%,23.00%,73.00%,46.90%,67.40%,56.30%,4.20%,31.30%,21.40%
67,Cam Bedrosian\bedroca01,27,LAA,3.96,62.20%,28.70%,21.40%,23.30%,26.60%,71.30%,44.40%,70.00%,57.80%,3.90%,26.00%,25.00%
68,Tyler Beede\beedety01,26,SFG,3.88,62.30%,25.90%,19.50%,26.20%,28.40%,74.10%,46.20%,73.70%,65.60%,4.00%,22.90%,18.60%
69,Jalen Beeks*\beeksja02,25,TBR,3.92,62.60%,26.80%,17.60%,27.00%,28.60%,73.20%,45.90%,75.90%,58.90%,4.10%,25.20%,18.00%
70,Travis Bergen*\bergetr01,25,SFG,4.36,60.80%,31.10%,11.80%,32.00%,25.00%,68.90%,41.90%,82.80%,58.10%,5.80%,29.10%,38.90%
71,Jose Berrios\berrijo01,25,MIN,3.72,67.50%,27.20%,17.10%,27.90%,27.80%,72.80%,49.10%,76.50%,65.20%,3.00%,29.90%,24.60%
72,Dellin Betances\betande01,31,NYY,4,87.50%,85.70%,0.00%,14.30%,0.00%,14.30%,12.50%,100.00%,100.00%,0.00%,150.00%,100.00%
73,Chad Bettis\bettich01,30,COL,3.59,63.90%,26.70%,15.20%,24.80%,33.30%,73.30%,46.80%,79.30%,70.40%,3.50%,24.70%,33.30%
74,Joe Biagini\biagijo01,29,TOT,4.06,61.20%,24.60%,21.30%,26.30%,27.80%,75.40%,46.10%,71.70%,57.70%,7.10%,21.70%,18.30%
75,Jesse Biddle*\biddlje01,27,TOT,4.06,57.70%,32.90%,14.60%,24.40%,28.10%,67.10%,38.70%,78.20%,53.90%,10.50%,23.70%,23.10%
76,Shane Bieber\biebesh01,24,CLE,3.86,66.30%,27.90%,22.10%,24.90%,25.10%,72.10%,47.80%,69.30%,65.00%,3.00%,28.50%,30.10%
77,Kyle Bird*\birdky01,26,TEX,4.28,52.20%,31.00%,20.70%,22.10%,26.20%,69.00%,36.00%,70.00%,40.00%,7.70%,16.90%,10.00%
78,Ty Blach*\blachty01,28,TOT,3.75,60.30%,26.80%,11.80%,29.00%,32.50%,73.20%,44.10%,83.90%,64.00%,2.90%,24.50%,40.00%
79,Ray Black\blackra01,29,TOT,4.03,63.50%,24.60%,22.90%,29.10%,23.50%,75.40%,47.90%,69.60%,62.90%,5.70%,34.30%,16.70%
80,Paul Blackburn\blackpa01,25,OAK,3.93,59.40%,24.80%,18.00%,24.10%,33.10%,75.20%,44.60%,76.00%,49.10%,5.30%,24.60%,0.00%
81,Michael Blazek\blazemi01,30,WSN,3.31,54.70%,31.90%,8.50%,14.90%,44.70%,68.10%,37.20%,87.50%,57.70%,11.50%,15.40%,
82,Richard Bleier*\bleieri01,32,BAL,3.23,67.70%,23.30%,13.20%,26.20%,37.40%,76.70%,52.00%,82.80%,61.90%,2.10%,22.50%,13.30%
83,Jerry Blevins*\blevije01,35,ATL,3.96,62.50%,30.40%,18.60%,26.40%,24.60%,69.60%,43.50%,73.30%,58.90%,5.70%,27.00%,29.70%
84,Ronald Bolanos\bolanro01,22,SDP,3.93,57.20%,28.30%,17.20%,26.30%,28.30%,71.70%,41.00%,76.10%,48.90%,9.10%,10.20%,21.10%
85,Ryan Borucki*\borucry01,25,TOR,3.88,54.80%,30.60%,16.50%,20.00%,32.90%,69.40%,38.10%,76.30%,50.00%,7.50%,15.00%,33.30%
86,Buddy Boshers*\boshebu01,31,TOR,4.17,64.30%,36.40%,14.20%,27.50%,21.90%,63.60%,40.90%,77.70%,66.30%,5.40%,32.60%,50.00%
87,James Bourque\bourqja01,25,WSN,4.83,41.40%,33.30%,0.00%,33.30%,33.30%,66.70%,27.60%,100.00%,16.70%,33.30%,0.00%,
88,Matt Bowman\bowmama01,28,CIN,4.09,64.20%,30.60%,13.60%,28.30%,27.50%,69.40%,44.60%,80.40%,67.20%,3.60%,28.50%,24.00%
89,Brad Boxberger\boxbebr01,31,KCR,3.99,62.00%,27.20%,20.90%,26.50%,25.50%,72.80%,45.20%,71.40%,60.70%,4.90%,25.40%,22.20%
90,Matthew Boyd*\boydma01,28,DET,3.95,66.00%,24.50%,23.50%,28.10%,23.90%,75.50%,49.90%,68.90%,64.30%,3.00%,28.90%,15.50%
91,Brad Brach\brachbr01,33,TOT,4.1,62.90%,23.80%,20.60%,31.70%,23.90%,76.20%,47.90%,73.00%,64.60%,7.40%,29.20%,16.70%
92,Chasen Bradford\bradfch02,29,SEA,3.59,65.30%,22.20%,17.90%,26.50%,33.30%,77.80%,50.80%,77.00%,59.40%,2.90%,26.10%,27.30%
93,Archie Bradley\bradlar01,26,ARI,4.05,63.90%,28.90%,17.00%,31.10%,23.00%,71.10%,45.40%,76.20%,60.30%,4.70%,23.30%,25.30%
94,Ryan Brasier\brasiry01,31,BOS,4.04,65.70%,19.80%,24.90%,31.10%,24.30%,80.20%,52.80%,69.00%,64.50%,3.30%,31.00%,13.10%
95,Steven Brault*\braulst01,27,PIT,3.96,61.60%,26.40%,17.10%,28.50%,28.00%,73.60%,45.40%,76.80%,56.40%,6.90%,20.40%,23.00%
96,John Brebbia\brebbjo01,29,STL,4,66.80%,24.10%,21.90%,31.00%,23.00%,75.90%,50.70%,71.20%,66.10%,3.60%,39.10%,19.50%
97,Brandon Brennan\brennbr01,27,SEA,3.71,61.10%,23.80%,25.80%,22.40%,28.00%,76.20%,46.60%,66.20%,58.90%,6.60%,19.80%,14.90%
98,Colten Brewer\breweco01,26,BOS,4.02,60.50%,29.40%,19.70%,24.10%,26.80%,70.60%,42.70%,72.10%,53.00%,6.70%,26.90%,23.10%
99,Austin Brice\briceau01,27,MIA,3.91,64.40%,28.30%,19.10%,27.10%,25.50%,71.70%,46.20%,73.30%,58.30%,6.50%,26.60%,13.00%
100,Jeff Brigham\brighje01,27,MIA,4.26,64.10%,24.20%,19.00%,32.60%,24.20%,75.80%,48.60%,74.90%,58.00%,6.80%,34.00%,23.10%
101,Zack Britton*\brittza01,31,NYY,3.82,59.00%,28.80%,19.70%,22.60%,28.80%,71.20%,42.00%,72.30%,55.90%,5.30%,20.80%,20.80%
102,Aaron Brooks\brookaa01,29,TOT,3.94,62.80%,26.70%,14.30%,29.20%,29.90%,73.30%,46.00%,80.50%,58.90%,3.50%,22.00%,35.40%
103,Mike Brosseau\brossmi01,25,TBR,3.33,65.00%,41.00%,0.00%,15.40%,43.60%,59.00%,38.30%,100.00%,55.60%,0.00%,5.60%,
104,Clay Buchholz\buchhcl01,34,TOR,3.78,65.80%,28.10%,14.80%,25.90%,31.20%,71.90%,47.40%,79.40%,63.10%,2.70%,26.30%,20.50%
105,Ryan Buchter*\buchtry01,32,OAK,4,61.80%,24.10%,19.80%,31.20%,24.90%,75.90%,46.90%,73.90%,54.00%,5.50%,17.50%,18.00%
106,Walker Buehler\buehlwa01,24,LAD,3.84,68.30%,26.40%,19.80%,29.20%,24.70%,73.60%,50.30%,73.20%,65.60%,2.40%,32.70%,21.90%
107,Madison Bumgarner*\bumgama01,29,SFG,3.83,67.00%,24.30%,18.60%,30.00%,27.10%,75.70%,50.70%,75.40%,69.30%,2.20%,31.90%,15.80%
108,Aaron Bummer*\bummeaa01,25,CHW,3.95,63.40%,25.30%,18.00%,30.00%,26.70%,74.70%,47.30%,75.90%,59.20%,4.20%,24.80%,21.70%
109,Dylan Bundy\bundydy01,26,BAL,3.96,65.10%,24.70%,21.20%,27.90%,26.20%,75.30%,49.00%,71.90%,61.60%,3.40%,27.20%,21.00%
110,Nick Burdi\burdini01,26,PIT,4.1,72.60%,28.60%,26.10%,28.60%,16.80%,71.40%,51.80%,63.50%,72.50%,0.00%,37.50%,23.50%
111,Brock Burke*\burkebr01,22,TEX,3.93,62.00%,27.80%,9.20%,31.50%,31.50%,72.20%,44.70%,87.30%,52.90%,5.00%,27.30%,28.60%
112,Corbin Burnes\burneco01,24,MIL,3.84,64.50%,22.90%,28.20%,24.10%,24.90%,77.10%,49.70%,63.50%,61.30%,3.80%,26.80%,17.10%
113,Ryan Burr\burrry01,25,CHW,4.19,63.90%,29.10%,16.10%,29.60%,25.20%,70.90%,45.30%,77.30%,62.80%,2.30%,34.90%,35.00%
114,Ty Buttrey\buttrty01,26,LAA,3.95,64.80%,28.10%,19.50%,27.60%,24.80%,71.90%,46.60%,72.90%,59.00%,6.10%,27.40%,17.90%
115,Genesis Cabrera*\cabrege01,22,STL,3.76,63.70%,28.30%,12.70%,30.80%,28.30%,71.70%,45.70%,82.40%,60.60%,5.10%,22.20%,31.60%
116,Trevor Cahill\cahiltr01,31,LAA,3.93,61.90%,27.00%,17.20%,26.10%,29.70%,73.00%,45.20%,76.50%,57.80%,5.10%,22.20%,23.50%
117,Griffin Canning\cannigr01,23,LAA,4.04,61.90%,26.80%,23.60%,23.50%,26.00%,73.20%,45.30%,67.70%,57.80%,4.20%,21.10%,16.70%
118,Matt Carasiti\carasma01,27,SEA,4.3,58.90%,28.40%,22.90%,22.90%,25.70%,71.60%,42.20%,67.90%,58.10%,0.00%,16.30%,10.00%
119,Victor Caratini\caratvi01,25,CHC,3.33,60.00%,27.80%,5.60%,22.20%,44.40%,72.20%,43.30%,92.30%,66.70%,11.10%,0.00%,
120,Shane Carle\carlesh01,27,ATL,3.74,60.40%,23.00%,15.90%,33.60%,27.40%,77.00%,46.50%,79.30%,62.00%,8.00%,26.00%,16.70%
121,David Carpenter\carpeda01,33,TEX,3.63,56.50%,17.90%,12.80%,35.90%,33.30%,82.10%,46.40%,84.40%,42.10%,10.50%,10.50%,0.00%
122,Ryan Carpenter*\carpery01,28,DET,3.48,66.80%,25.10%,12.20%,28.40%,34.30%,74.90%,50.00%,83.70%,64.00%,2.50%,22.80%,20.00%
123,Carlos Carrasco\carraca01,32,CLE,3.73,67.10%,22.90%,24.00%,26.50%,26.50%,77.10%,51.70%,68.90%,65.20%,3.20%,32.50%,24.00%
124,Andrew Cashner\cashnan01,32,TOT,3.95,61.00%,25.70%,16.70%,27.20%,30.40%,74.30%,45.30%,77.50%,54.90%,4.40%,18.70%,18.50%
125,Diego Castillo\castidi01,25,TBR,3.85,64.30%,29.10%,23.10%,23.10%,24.80%,70.90%,45.60%,67.50%,57.40%,5.80%,25.10%,21.00%
126,Jose Castillo*\castijo03,23,SDP,4.25,52.90%,44.40%,22.20%,33.30%,0.00%,55.60%,29.40%,60.00%,75.00%,25.00%,100.00%,0.00%
127,Luis Castillo\castilu02,26,CIN,4.04,61.50%,23.10%,27.50%,25.20%,24.10%,76.90%,47.30%,64.20%,56.10%,6.10%,24.60%,9.70%
128,Miguel Castro\castrmi01,24,BAL,3.85,60.40%,26.70%,20.30%,25.10%,27.80%,73.30%,44.20%,72.30%,51.90%,6.30%,19.10%,21.10%
129,Dylan Cease\ceasedy01,23,CHW,4.18,60.20%,26.20%,19.20%,29.20%,25.30%,73.80%,44.40%,73.90%,59.20%,5.20%,24.80%,28.40%
130,Xavier Cedeno*\cedenxa01,32,CHC,3.46,60.00%,25.90%,11.10%,29.60%,33.30%,74.10%,44.40%,85.00%,46.20%,23.10%,23.10%,100.00%
131,Luis Cessa\cessalu01,27,NYY,3.93,62.90%,25.00%,22.00%,25.50%,27.50%,75.00%,47.20%,70.70%,58.40%,4.90%,24.40%,10.70%
132,Jhoulys Chacin\chacijh01,31,TOT,4.14,61.40%,30.20%,14.40%,28.70%,26.60%,69.80%,42.80%,79.40%,57.40%,5.10%,16.60%,29.70%
133,Andrew Chafin*\chafian01,29,ARI,3.98,64.60%,23.00%,26.00%,27.30%,23.70%,77.00%,49.70%,66.30%,61.80%,4.00%,28.90%,16.20%
134,Aroldis Chapman*\chapmar01,31,NYY,4.21,64.60%,26.90%,23.10%,30.60%,19.40%,73.10%,47.30%,68.40%,59.10%,6.80%,39.10%,14.10%
135,JT Chargois\chargjt01,28,LAD,3.34,69.00%,31.00%,23.60%,19.20%,26.10%,69.00%,47.60%,65.70%,58.00%,4.50%,25.00%,35.70%
136,Tyler Chatwood\chatwty01,29,CHC,3.97,59.80%,28.60%,18.10%,26.30%,27.00%,71.40%,42.70%,74.70%,54.00%,7.70%,25.30%,27.00%
137,Jesse Chavez\chaveje01,35,TEX,3.87,63.00%,31.60%,12.60%,26.90%,28.90%,68.40%,43.10%,81.50%,62.70%,4.10%,21.30%,51.40%
138,Wei-Yin Chen*\chenwe02,33,MIA,3.75,67.00%,24.00%,15.40%,31.90%,28.70%,76.00%,50.90%,79.70%,59.30%,3.60%,27.00%,23.80%
139,Yonny Chirinos\chiriyo01,25,TBR,3.74,64.90%,23.50%,17.20%,29.40%,29.90%,76.50%,49.60%,77.60%,62.70%,2.60%,26.00%,28.10%
140,Adam Cimber\cimbead01,28,CLE,3.27,67.80%,24.80%,15.20%,26.70%,33.30%,75.20%,50.90%,79.80%,66.00%,4.10%,28.70%,14.60%
141,Steve Cishek\cishest01,33,CHC,4.14,61.80%,29.30%,16.10%,29.20%,25.40%,70.70%,43.60%,77.30%,60.10%,4.90%,25.70%,35.10%
142,Jose Cisnero\cisnejo01,30,DET,3.98,65.70%,23.30%,20.80%,32.30%,23.60%,76.70%,50.40%,72.90%,61.10%,6.20%,29.60%,20.00%
143,Aaron Civale\civalaa01,24,CLE,3.8,61.50%,26.20%,15.70%,27.20%,30.90%,73.80%,45.40%,78.80%,61.70%,7.90%,22.00%,34.80%
144,Taylor Clarke\clarkta01,26,ARI,4.1,62.20%,22.10%,18.10%,31.60%,28.20%,77.90%,48.40%,76.80%,64.50%,3.00%,16.80%,13.20%
145,Emmanuel Clase\claseem01,21,TEX,3.67,65.80%,26.90%,18.50%,25.60%,29.10%,73.10%,48.10%,74.70%,56.40%,1.10%,25.50%,19.00%
146,Alex Claudio*\claudal01,27,MIL,3.64,64.30%,27.50%,17.50%,24.30%,30.70%,72.50%,46.60%,75.90%,61.70%,6.30%,20.80%,20.50%
147,Mike Clevinger\clevimi01,28,CLE,4.18,63.40%,27.90%,25.50%,24.70%,21.90%,72.10%,45.70%,64.60%,65.80%,3.80%,31.60%,21.30%
148,Tyler Clippard\clippty01,34,CLE,3.89,65.90%,23.00%,22.00%,29.90%,25.10%,77.00%,50.70%,71.40%,65.10%,1.70%,28.60%,7.80%
149,Alex Cobb\cobbal01,31,BAL,3.82,64.60%,27.00%,17.60%,21.60%,33.80%,73.00%,47.20%,75.90%,55.00%,5.00%,26.70%,0.00%
150,A.J. Cole\coleaj01,27,CLE,4.08,67.40%,22.20%,23.50%,29.60%,24.70%,77.80%,52.40%,69.80%,59.30%,2.50%,30.50%,20.00%
151,Gerrit Cole\colege01,28,HOU,4.11,67.00%,25.60%,27.70%,27.20%,19.50%,74.40%,49.90%,62.80%,64.10%,2.40%,36.30%,22.70%
152,Taylor Cole\coleta01,29,LAA,3.94,61.70%,24.40%,20.50%,27.60%,27.60%,75.60%,46.70%,72.90%,58.40%,7.40%,22.90%,12.00%
153,Tim Collins*\colliti01,29,CHC,4.21,60.60%,29.90%,12.40%,25.80%,32.00%,70.10%,42.50%,82.40%,44.70%,5.30%,13.20%,25.00%
154,Alex Colome\colomal01,30,CHW,3.92,62.70%,20.50%,23.10%,28.60%,27.80%,79.50%,49.80%,71.00%,57.00%,5.60%,21.30%,16.40%
155,Adam Conley*\conlead01,29,MIA,3.74,64.00%,20.20%,18.90%,31.80%,29.20%,79.80%,51.10%,76.40%,62.70%,4.60%,27.80%,24.50%
156,Sam Coonrod\coonrsa01,26,SFG,3.98,60.40%,24.10%,17.50%,31.00%,27.40%,75.90%,45.80%,76.90%,62.30%,4.40%,21.90%,25.00%
157,Patrick Corbin*\corbipa01,29,WSN,3.95,62.40%,24.10%,24.10%,26.40%,25.50%,75.90%,47.40%,68.30%,62.30%,4.50%,25.70%,23.90%
158,Jimmy Cordero\cordeji01,27,TOT,3.71,66.40%,22.20%,22.80%,26.90%,28.10%,77.80%,51.70%,70.70%,61.60%,2.70%,21.20%,9.70%
159,Nestor Cortes Jr.*\cortene01,24,NYY,4.37,62.90%,27.60%,18.20%,29.70%,24.40%,72.40%,45.50%,74.80%,63.10%,2.70%,25.80%,24.60%
160,Dylan Covey\coveydy01,27,CHW,3.65,63.00%,28.10%,13.00%,26.70%,32.20%,71.90%,45.40%,81.90%,60.70%,7.10%,20.40%,26.80%
161,Stefan Crichton\crichst01,27,ARI,3.81,64.60%,29.40%,17.20%,27.10%,26.40%,70.60%,45.60%,75.70%,60.20%,4.10%,26.80%,21.20%
